Name	Day	Start time	End time	Week pattern	Location	Room Size	Class Size	Staff	Department
ACCP002.L#	Friday	14:05	15:55	3-6, 8-9	C.LTW1	94	68	Colin Dey	MGTACF_PG
ACCP002.S/01	Friday	10:05	10:55	4, 6, 8, 10	C.2A11	26	23		MGTACF_PG
ACCP002.S/02	Friday	11:05	11:55	4, 6, 8, 10	C.2A11	26	23		MGTACF_PG
ACCP002.S/03	Friday	12:05	12:55	4, 6, 8, 10	C.2A11	26	23		MGTACF_PG
ACCU9A1.L#	Friday	13:05	13:55	1-6, 8-12	C.LTB3	112	100	Alan Goodacre	MGTACF UG
ACCU9A1.L#	Monday	16:05	16:55	2-6, 8-12	C.LT2V1	142	100	Alan Goodacre	MGTACF UG
ACCU9A1.L#	Wednesday	11:05	11:55	1-5, 8-9, 11-12	C.LT2V1	142	100	Alan Goodacre	MGTACF UG
ACCU9A5.L#	Tuesday	11:05	12:55	1-6, 8-11	C.LTA5	92	88	Sarah Smith/Alan Ballantine	MGTACF UG
ACCU9A5.S/01	Tuesday	13:05	13:55	2-6, 8-12	C.4B128	30	30	Alan Ballantine/Sarah Smith	MGTACF UG
ACCU9A5.S/02	Tuesday	14:05	14:55	2-6, 8-12	C.4B128	30	30	Alan Ballantine/Sarah Smith	MGTACF UG
ACCU9A5.S/03	Tuesday	15:05	15:55	2-6, 8-12	C.4B128	30	30	Alan Ballantine/Sarah Smith	MGTACF UG
ACCU9A5.S/04	Tuesday	16:05	16:55	2-6, 8-12	C.4B128	30	30	Alan Ballantine/Sarah Smith	MGTACF UG
ACCU9AA.L#	Thursday	09:05	10:55	1-6, 8-12	C.LTB3	112	110	Ian Fraser/Sarah Smith	MGTACF UG
ACCU9AA.S/01	Thursday	12:05	12:55	1-6, 8-12	C.3V2	34	26		MGTACF UG
ACCU9AA.S/02	Thursday	13:05	13:55	1-6, 8-12	C.3V2	34	26		MGTACF UG
ACCU9AA.S/03	Thursday	14:05	14:55	1-6, 8-12	C.2B38	28	26		MGTACF UG
ACCU9IS.L#	Monday	13:05	14:55	1-6, 8-12	C.4B128	30	30	Colin Dey/Lisa Evans	MGTACF UG
ACCU9M1.L#	Thursday	13:05	14:55	1-5, 8-12	C.LTA4	237	100	Chris Coles	MGTACF UG
ACCU9M1.S/01	Tuesday	09:05	09:55	2-6, 8-12	C.2B76	30	30	Chris Coles	MGTACF UG
ACCU9M1.S/02	Tuesday	13:05	13:55	2-6, 8-12	C.2A19	30	30	Chris Coles	MGTACF UG
ACCU9M1.S/03	Tuesday	14:05	14:55	2-6, 8-12	C.2A19	30	30	Chris Coles	MGTACF UG
ACCU9M1.S/04	Thursday	09:05	09:55	2-6, 8-12	C.2A19	30	30	Chris Coles	MGTACF UG
AQUU1BP.L#	Friday	10:05	10:55	1-6, 8-12	C.LTA3	240	136	Cori Critchlow-Watton	NATAQU
AQUU1BP.L#	Monday	12:05	12:55	2-6, 8-12	P.PLT	210	136	Cori Critchlow-Watton	NATAQU
AQUU1BP.L#	Thursday	12:05	12:55	1-6, 8-12	P.PLT	210	136	Cori Critchlow-Watton	NATAQU
AQUU3AE.L#	Friday	10:05	10:55	1-6, 8-12	P.PLT	210	182	Trevor Telfer	NATAQU
AQUU3AE.L#	Thursday	11:05	11:55	1-6, 8-12	C.LTB4	179	83	Trevor Telfer	NATAQU
AQUU3AE.L#	Tuesday	16:05	16:55	1-6, 8-12	C.LTW1	94	90	Trevor Telfer	NATAQU
AQUU5AR.CL#	Wednesday	09:05	12:55	10	P.H4	20	20	Bruce McAdam	NATAQU
AQUU5AR.L#	Friday	13:05	13:55	1-6, 8-12	P.H3	20	20		NATAQU
AQUU5AR.L#	Monday	11:05	11:55	2-6, 8-12	P.H3	20	20		NATAQU
AQUU5AR.L#	Thursday	12:05	12:55	1-5, 8-12	P.H3	20	20		NATAQU
AQUU5AR.L#	Wednesday	09:05	12:55	1	P.H3	20	20		NATAQU
ARTPP01.S#	Monday	16:05	17:55	2, 4, 6, 8, 10	C.2B86	40	40	Colin Nicolson/Gyorgy Toth	ARH PG
ARTU9K6.S/01	Tuesday	10:05	11:55	1-6, 8-12	C.2B74*	26	16	Holgar Nehring	ARHHPO_History
ARTU9K6.S/02	Tuesday	14:05	15:55	1-6, 8-12	C.2B45	16	16	Holgar Nehring	ARHHPO_History
ARTUHR5.S#	Thursday	13:05	14:55	1-6, 8-12	P.D2*	20	10	Jane Cameron/Sarah Bromage	ARHHPO_History
